transcript_id	counts
ENST00000421495.6|ENSG00000127054.22|OTTHUMG00000003330.13|OTTHUMT00000009366.2|INTS11-204|INTS11|1868|protein_coding|	48
ENST00000528879.5|ENSG00000127054.22|OTTHUMG00000003330.13|OTTHUMT00000383031.1|INTS11-236|INTS11|1524|nonsense_mediated_decay|	5
ENST00000531020.1|ENSG00000127054.22|OTTHUMG00000003330.13|OTTHUMT00000383036.1|INTS11-240|INTS11|548|retained_intron|	20
ENST00000526332.5|ENSG00000127054.22|OTTHUMG00000003330.13|OTTHUMT00000383039.2|INTS11-230|INTS11|579|protein_coding|	29
ENST00000341426.9|ENSG00000008130.15|OTTHUMG00000000942.6|OTTHUMT00000002769.1|NADK-201|NADK|3235|protein_coding|	13
ENST00000378625.5|ENSG00000008130.15|OTTHUMG00000000942.6|OTTHUMT00000002767.1|NADK-204|NADK|3653|protein_coding|	7
ENST00000498806.1|ENSG00000008130.15|OTTHUMG00000000942.6|OTTHUMT00000100197.2|NADK-217|NADK|269|nonsense_mediated_decay|	12
ENST00000497747.5|ENSG00000008130.15|OTTHUMG00000000942.6|OTTHUMT00000002776.1|NADK-216|NADK|467|retained_intron|	28
ENST00000489538.1|ENSG00000008130.15|OTTHUMG00000000942.6|OTTHUMT00000100199.3|NADK-211|NADK|475|nonsense_mediated_decay|	23
ENST00000464373.1|ENSG00000008130.15|OTTHUMG00000000942.6|OTTHUMT00000002771.2|NADK-206|NADK|722|retained_intron|	4
ENST00000480542.1|ENSG00000008130.15|OTTHUMG00000000942.6|OTTHUMT00000002770.1|NADK-210|NADK|341|protein_coding_CDS_not_defined|	15
ENST00000484435.1|ENSG00000158286.13|OTTHUMG00000001089.5|OTTHUMT00000003216.1|RNF207-205|RNF207|551|retained_intron|	45
ENST00000496676.5|ENSG00000158286.13|OTTHUMG00000001089.5|OTTHUMT00000003217.3|RNF207-209|RNF207|3020|retained_intron|	45
ENST00000496329.1|ENSG00000158286.13|OTTHUMG00000001089.5|OTTHUMT00000003670.1|RNF207-208|RNF207|231|retained_intron|	23
