transcript_id	counts
ENST00000643810.1|ENSG00000095303.17|OTTHUMG00000020605.5|OTTHUMT00000497013.1|PTGS1-208|PTGS1|1839|protein_coding|	7
ENST00000362012.7|ENSG00000095303.17|OTTHUMG00000020605.5|OTTHUMT00000053933.3|PTGS1-202|PTGS1|5020|protein_coding|	39
ENST00000647067.1|ENSG00000095303.17|OTTHUMG00000020605.5|OTTHUMT00000497009.1|PTGS1-210|PTGS1|2541|nonsense_mediated_decay|	6
ENST00000619306.5|ENSG00000095303.17|OTTHUMG00000020605.5|OTTHUMT00000497010.1|PTGS1-206|PTGS1|1766|protein_coding|	6
ENST00000426608.6|ENSG00000095303.17|OTTHUMG00000020605.5|OTTHUMT00000053935.3|PTGS1-204|PTGS1|529|protein_coding|	39
ENST00000223423.8|ENSG00000095303.17|OTTHUMG00000020605.5|OTTHUMT00000053934.2|PTGS1-201|PTGS1|2328|protein_coding|	19
ENST00000373698.7|ENSG00000095303.17|OTTHUMG00000020605.5|OTTHUMT00000497012.1|PTGS1-203|PTGS1|2073|protein_coding|	45
ENST00000530364.1|ENSG00000165209.19|OTTHUMG00000020636.4|OTTHUMT00000392598.1|STRBP-210|STRBP|285|protein_coding_CDS_not_defined|	32
ENST00000478973.6|ENSG00000165209.19|OTTHUMG00000020636.4|OTTHUMT00000392599.1|STRBP-206|STRBP|663|nonsense_mediated_decay|	19
ENST00000471564.6|ENSG00000165209.19|OTTHUMG00000020636.4|OTTHUMT00000053987.2|STRBP-205|STRBP|535|nonsense_mediated_decay|	1
ENST00000496533.5|ENSG00000165209.19|OTTHUMG00000020636.4|OTTHUMT00000053986.2|STRBP-209|STRBP|657|nonsense_mediated_decay|	35
ENST00000348403.10|ENSG00000165209.19|OTTHUMG00000020636.4|OTTHUMT00000053982.3|STRBP-201|STRBP|6451|protein_coding|	16
ENST00000360998.3|ENSG00000165209.19|OTTHUMG00000020636.4|OTTHUMT00000053984.2|STRBP-202|STRBP|2990|protein_coding|	13
ENST00000492885.1|ENSG00000165209.19|OTTHUMG00000020636.4|OTTHUMT00000053985.1|STRBP-208|STRBP|498|retained_intron|	15
ENST00000479114.2|ENSG00000165209.19|OTTHUMG00000020636.4|OTTHUMT00000053988.2|STRBP-207|STRBP|832|protein_coding|	16
ENST00000373498.5|ENSG00000119487.17|OTTHUMG00000020683.9|OTTHUMT00000054092.1|MAPKAP1-204|MAPKAP1|3131|protein_coding|	8
ENST00000373503.7|ENSG00000119487.17|OTTHUMG00000020683.9|OTTHUMT00000054091.2|MAPKAP1-205|MAPKAP1|3045|protein_coding|	13
ENST00000444226.1|ENSG00000119487.17|OTTHUMG00000020683.9|OTTHUMT00000054087.1|MAPKAP1-213|MAPKAP1|701|protein_coding|	3
ENST00000497932.5|ENSG00000119487.17|OTTHUMG00000020683.9|OTTHUMT00000355309.1|MAPKAP1-220|MAPKAP1|1495|nonsense_mediated_decay|	17
ENST00000496063.1|ENSG00000119487.17|OTTHUMG00000020683.9|OTTHUMT00000355311.1|MAPKAP1-218|MAPKAP1|892|protein_coding_CDS_not_defined|	12
ENST00000394060.7|ENSG00000119487.17|OTTHUMG00000020683.9|OTTHUMT00000054086.2|MAPKAP1-207|MAPKAP1|1586|protein_coding|	13
ENST00000433483.1|ENSG00000119487.17|OTTHUMG00000020683.9|OTTHUMT00000054089.2|MAPKAP1-211|MAPKAP1|769|protein_coding|	37
ENST00000361171.8|ENSG00000196814.15|OTTHUMG00000020687.3|OTTHUMT00000054110.2|MVB12B-201|MVB12B|4838|protein_coding|	38
ENST00000489637.3|ENSG00000196814.15|OTTHUMG00000020687.3|OTTHUMT00000054111.2|MVB12B-206|MVB12B|2666|protein_coding|	20
ENST00000470567.5|ENSG00000196814.15|OTTHUMG00000020687.3|OTTHUMT00000054115.1|MVB12B-203|MVB12B|421|protein_coding_CDS_not_defined|	12
ENST00000489570.1|ENSG00000196814.15|OTTHUMG00000020687.3|OTTHUMT00000054114.1|MVB12B-205|MVB12B|479|protein_coding_CDS_not_defined|	16
ENST00000485886.1|ENSG00000196814.15|OTTHUMG00000020687.3|OTTHUMT00000054112.1|MVB12B-204|MVB12B|4537|retained_intron|	47
ENST00000429629.6|ENSG00000136895.19|OTTHUMG00000020700.10|OTTHUMT00000054159.4|GARNL3-204|GARNL3|694|nonsense_mediated_decay|	17
ENST00000441134.5|ENSG00000136895.19|OTTHUMG00000020700.10|OTTHUMT00000347714.2|GARNL3-207|GARNL3|653|nonsense_mediated_decay|	25
ENST00000425970.5|ENSG00000136895.19|OTTHUMG00000020700.10|OTTHUMT00000054160.3|GARNL3-203|GARNL3|831|protein_coding|	62
ENST00000460176.6|ENSG00000136895.19|OTTHUMG00000020700.10|OTTHUMT00000347720.2|GARNL3-211|GARNL3|569|nonsense_mediated_decay|	21
ENST00000497703.1|ENSG00000136895.19|OTTHUMG00000020700.10|OTTHUMT00000054156.1|GARNL3-221|GARNL3|304|retained_intron|	20
ENST00000610552.4|ENSG00000136856.18|OTTHUMG00000020702.6|-|SLC2A8-215|SLC2A8|1763|protein_coding|	18
ENST00000419132.5|ENSG00000136856.18|OTTHUMG00000020702.6|OTTHUMT00000054184.2|SLC2A8-204|SLC2A8|506|protein_coding|	46
ENST00000423934.5|ENSG00000136856.18|OTTHUMG00000020702.6|OTTHUMT00000054186.2|SLC2A8-206|SLC2A8|933|protein_coding|	60
